,,Listening,Reading,Writing,Speaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,,,,,,,No GOLD,L3,L3,X,X,X,X,L3,L3,L3,L3,L3,L3,X,X,X,L3,L3,X,L3,X,L3,L3,L3,X,L3,L3,L3,L3,L3,L3,X,X,X
6.5,Over,76 to 100,76 to 100,C1 to C2,C1 to C2,,4,,,,3,3,3,1,,,1,,,,,1,2,2,2,,,,2,2,2,1,1,,1,1,,1,1,
6.5,Threshold,67 to 75,67 to 75,B2+ to B2+,B2+ to B2+,,,4,,,1,,,3,3,3,,1,,,1,,2,,,2,2,,1,1,,2,2,2,1,,1,1,,1
6.5,Middle,60 to 66,60 to 66,B2 to B2,B2 to B2,,,,4,,,1,,,1,,3,3,3,1,,,,2,,2,,2,1,,1,1,,1,2,2,2,,1,1
6.5,Deep,0 to 59,0 to 59,A1 to B1+,A1 to B1+,,,,,4,,,1,,,1,,,1,3,3,3,,,2,,2,2,,1,1,,1,1,,1,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,No GOLD,L3,L2,X,X,X,X,L3,L3,L3,L2,L2,L2,X,X,X,L3,L3,X,L3,X,L2,L3,L3,X,L3,L3,L3,L3,L2,L2,X,X,X
6.0,Over,67 to 100,67 to 100,B2+ to C2,B2+ to C2,,4,,,,3,3,3,1,,,1,,,,,1,2,2,2,,,,2,2,2,1,1,,1,1,,1,1,
6.0,Threshold,60 to 66,60 to 66,B2 to B2,B2 to B2,,,4,,,1,,,3,3,3,,1,,,1,,2,,,2,2,,1,1,,2,2,2,1,,1,1,,1
6.0,Middle,50 to 59,50 to 59,B1+ to B1+,B1+ to B1+,,,,4,,,1,,,1,,3,3,3,1,,,,2,,2,,2,1,,1,1,,1,2,2,2,,1,1
6.0,Deep,0 to 49,0 to 49,A1 to B1,A1 to B1,,,,,4,,,1,,,1,,,1,3,3,3,,,2,,2,2,,1,1,,1,1,,1,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,,,,,,,No GOLD,L2,L1,X,X,X,X,L2,L2,L2,L1,L1,L1,X,X,X,L2,L2,X,L2,X,L1,L2,L2,X,L2,L2,L2,L2,L1,L1,X,X,X
5.5,Over,60 to 100,60 to 100,B2 to C2,B2 to C2,,4,,,,3,3,3,1,,,1,,,,,1,2,2,2,,,,2,2,2,1,1,,1,1,,1,1,
5.5,Threshold,40 to 59,40 to 59,B1 to B1+,B1 to B1+,,,4,,,1,,,3,3,3,,1,,,1,,2,,,2,2,,1,1,,2,2,2,1,,1,1,,1
5.5,Middle,30 to 39,30 to 39,A2+ to A2+,A2+ to A2+,,,,4,,,1,,,1,,3,3,3,1,,,,2,,2,,2,1,,1,1,,1,2,2,2,,1,1
5.5,Deep,0 to 29,0 to 29,A1 to A2,A1 to A2,,,,,4,,,1,,,1,,,1,3,3,3,,,2,,2,2,,1,1,,1,1,,1,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,,,,No GOLD,L2,L1,Alert,X,X,X,L2,L2,L2,L1,L1,L1,Alert,Alert,Alert,L2,L2,X,L2,X,L1,L2,L2,X,L2,L2,L2,L2,L1,L1,X,X,X
5.0,Over,50 to 100,50 to 100,B1+ to C2,B1+ to C2,,4,,,,3,3,3,1,,,1,,,,,1,2,2,2,,,,2,2,2,1,1,,1,1,,1,1,
5.0,Threshold - L2,40 to 49,40 to 49,B1 to B1,B1 to B1,,,4,,,1,,,3,3,3,,1,,,1,,2,,,2,2,,1,1,,2,2,2,1,,1,1,,1
5.0,Middle,20 to 39,20 to 39,A2 to A2+,A2 to A2+,,,,4,,,1,,,1,,3,3,3,1,,,,2,,2,,2,1,,1,1,,1,2,2,2,,1,1
5.0,Deep,0 to 19,0 to 19,A1 to A1+,A1 to A1+,,,,,4,,,1,,,1,,,1,3,3,3,,,2,,2,2,,1,1,,1,1,,1,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,,,,,,,No GOLD,L1,Alert,X,X,L1,L1,Alert,Alert,L1,X,L1,L1,L1,X,,,,,,,,,,,,,,,,,,,
4.5,Over,40 to 100,40 to 100,B1 to C2,B1 to C2,,4,,,3,3,1,,1,,2,2,,2,1,1,,,,,,,,,,,,,,,,,,,
4.5,Threshold - L1,20 to 39,20 to 39,A2 to A2+,A2 to A2+,,,4,,1,,3,3,,1,2,,2,1,2,1,,,,,,,,,,,,,,,,,,,
4.5,Middle,0 to 19,0 to 19,A1 to A1+,A1 to A1+,,,,4,,1,,1,3,3,,2,2,1,1,2,,,,,,,,,,,,,,,,,,,
